stid,seqNum,latitude,longitude,time,behavior
2584077,212,35.20169,-80.93985,2025-04-12 11:38:46+00:00,1
2584077,65,35.20169,-80.93985,2025-04-12 11:38:45+00:00,1
2584077,106,35.20169,-80.93985,2025-04-12 11:38:47+00:00,1
2584077,8,35.20169,-80.93985,2025-04-12 11:38:48+00:00,1
2584077,171,35.20169,-80.93985,2025-04-12 11:38:49+00:00,1
2584077,61,35.20169,-80.93985,2025-04-12 11:38:50+00:00,1
2584077,210,35.20169,-80.93985,2025-04-12 11:38:51+00:00,1
2584077,103,35.20169,-80.93985,2025-04-12 11:38:52+00:00,1
2584077,249,35.20169,-80.93985,2025-04-12 11:38:53+00:00,1
2584077,162,35.20169,-80.93985,2025-04-12 11:38:54+00:00,1
2584077,56,35.20169,-80.93985,2025-04-12 11:38:55+00:00,1
2584077,236,35.20169,-80.93985,2025-04-12 11:54:39+00:00,1
2584077,107,35.20169,-80.93985,2025-04-12 11:54:40+00:00,1
2584077,242,35.20169,-80.93985,2025-04-12 11:54:41+00:00,1
2584077,134,35.20169,-80.93985,2025-04-12 11:54:42+00:00,1
2584077,7,35.20169,-80.93985,2025-04-12 11:54:43+00:00,1
2584077,135,35.20169,-80.93985,2025-04-12 11:54:44+00:00,1
2584077,149,35.20169,-80.93985,2025-04-12 11:54:45+00:00,1
2584077,31,35.20169,-80.93985,2025-04-12 11:54:46+00:00,1
2584077,162,35.20169,-80.93985,2025-04-12 11:54:47+00:00,1
2584077,41,35.20169,-80.93985,2025-04-12 11:54:48+00:00,1
2584077,169,35.20169,-80.93985,2025-04-12 11:54:49+00:00,1
2584077,45,35.20169,-80.93985,2025-04-12 11:54:50+00:00,1
2584077,176,35.20169,-80.93985,2025-04-12 11:54:51+00:00,1
2584534,28,35.20325,-80.9379,2025-04-12 11:10:45+00:00,1
2584534,135,35.20325,-80.9379,2025-04-12 11:10:46+00:00,1
2584534,241,35.20325,-80.9379,2025-04-12 11:10:47+00:00,1
2584534,92,35.20325,-80.93791,2025-04-12 11:10:48+00:00,1
2584534,203,35.20325,-80.93791,2025-04-12 11:10:49+00:00,1
2584534,155,35.20325,-80.93791,2025-04-12 11:10:51+00:00,1
2584534,53,35.20325,-80.93791,2025-04-12 11:10:50+00:00,1
2584534,0,35.20325,-80.93791,2025-04-12 11:10:52+00:00,1
2584534,107,35.20325,-80.93791,2025-04-12 11:10:53+00:00,1
2584534,120,35.20325,-80.93791,2025-04-12 11:10:54+00:00,1
2584534,231,35.20325,-80.9379,2025-04-12 11:10:55+00:00,1
2584534,86,35.20325,-80.9379,2025-04-12 11:10:56+00:00,1
2584534,195,35.20325,-80.9379,2025-04-12 11:10:57+00:00,1
2584534,66,35.20331,-80.93732,2025-04-12 11:25:50+00:00,1
2584534,199,35.20331,-80.93732,2025-04-12 11:25:51+00:00,1
2584534,72,35.20331,-80.93732,2025-04-12 11:25:52+00:00,1
2584534,207,35.20331,-80.93732,2025-04-12 11:25:53+00:00,1
2584534,88,35.20331,-80.93732,2025-04-12 11:25:54+00:00,1
2584534,218,35.20331,-80.93732,2025-04-12 11:25:55+00:00,1
